,dataset,split,task_id,model,code,result,compiled,passed_tests,avg_test_time,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI
10,mbpp,train,10,canonical_solution,"# Write a function to find the maximum of nth column from the given tuple list.
def max_of_nth(test_list, N):
  res = max([sub[N] for sub in test_list])
  return (res) ",passed,True,True,7.990389999955975e-05,4,3,3,1,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11,mbpp,train,11,canonical_solution,"# Write a python function to merge the first and last elements separately in a list of lists.
def merge(lst):  
    return [list(ele) for ele in list(zip(*lst))] ",passed,True,True,0.00011463190000000622,3,2,2,1,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12,mbpp,train,12,canonical_solution,"# Write a function to find the maximum value in record list as tuple attribute in the given tuple list.
def maximum_value(test_list):
  res = [(key, max(lst)) for key, lst in test_list]
  return (res) ",passed,True,True,0.000135260066666613,4,3,3,1,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
13,mbpp,train,13,canonical_solution,"# Write a function to find the cumulative sum of all the values that are present in the given tuple list.
def cummulative_sum(test_list):
  res = sum(map(sum, test_list))
  return (res)",passed,True,True,6.893739999895843e-05,4,3,3,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
14,mbpp,train,14,canonical_solution,"# Write a function to find average value of the numbers in a given tuple of tuples.
def average_tuple(nums):
    result = [sum(x) / len(x) for x in zip(*nums)]
    return result",passed,True,True,0.00014515133332982562,4,3,3,1,0,0,1,2,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,100.0
15,mbpp,train,15,canonical_solution,"# Write a function to perfom the modulo of tuple elements in the given two tuples.
def tuple_modulo(test_tup1, test_tup2):
  res = tuple(ele1 % ele2 for ele1, ele2 in zip(test_tup1, test_tup2)) 
  return (res) ",passed,True,True,7.922679999978754e-05,4,3,3,1,0,0,1,2,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,100.0
16,mbpp,train,16,canonical_solution,"# Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.
def min_Jumps(a, b, d): 
    temp = a 
    a = min(a, b) 
    b = max(temp, b) 
    if (d >= b): 
        return (d + b - 1) / b 
    if (d == 0): 
        return 0
    if (d == a): 
        return 1
    else:
        return 2",passed,True,True,3.5699566666735906e-05,13,12,12,1,0,0,1,4,5,7,6,12,12,18,31.26112492884004,64.52932501298082,4.285714285714286,276.55425005563205,15.36412500309067,0.02150977500432694,79.71434779276923
17,mbpp,train,17,canonical_solution,"# Write a function to divide two lists using map and lambda function.
def div_list(nums1,nums2):
  result = map(lambda x, y: x / y, nums1, nums2)
  return list(result)",passed,True,True,4.7847099999861105e-05,4,4,3,1,0,0,1,1,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,100.0
18,mbpp,train,18,canonical_solution,"# Write a function to move all the numbers in it to the given string.
def move_num(test_str):
  res = ''
  dig = ''
  for ele in test_str:
    if ele.isdigit():
      dig += ele
    else:
      res += ele
  res += dig
  return (res) ",passed,True,True,3.548779999960061e-05,11,10,10,1,0,0,1,3,1,3,3,6,4,9,4.754887502163469,18.0,1.0,18.0,1.0,0.006,86.81053524944028
19,mbpp,train,19,canonical_solution,"# Write a function to find the largest subset where each pair is divisible.
def largest_subset(a, n):
	dp = [0 for i in range(n)]
	dp[n - 1] = 1; 
	for i in range(n - 2, -1, -1):
		mxm = 0;
		for j in range(i + 1, n):
			if a[j] % a[i] == 0 or a[i] % a[j] == 0:
				mxm = max(mxm, dp[j])
		dp[i] = 1 + mxm
	return max(dp)",passed,True,True,7.212733333403776e-05,11,10,10,1,0,0,1,6,6,14,11,20,20,31,68.81274391313339,133.97977094150824,4.285714285714286,574.1990183207496,31.899945462263865,0.04465992364716941,80.30290440079402
20,mbpp,train,20,canonical_solution,"# Write a function to increment the numeric values in the given strings by k.
def increment_numerics(test_list, K):
  res = [str(int(ele) + K) if ele.isdigit() else ele for ele in test_list]
  return res ",passed,True,True,7.377486666655386e-05,4,3,3,1,0,0,1,3,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,100.0
21,mbpp,train,21,canonical_solution,"# Write a function to find the median of two sorted arrays of same size.
def get_median(arr1, arr2, n):
  i = 0
  j = 0
  m1 = -1
  m2 = -1
  count = 0
  while count < n + 1:
    count += 1
    if i == n:
      m1 = m2
      m2 = arr2[0]
      break
    elif j == n:
      m1 = m2
      m2 = arr1[0]
      break
    if arr1[i] <= arr2[j]:
      m1 = m2
      m2 = arr1[i]
      i += 1
    else:
      m1 = m2
      m2 = arr2[j]
      j += 1
  return (m1 + m2)/2",passed,True,True,7.690896666569339e-05,26,25,25,1,0,0,1,5,6,12,12,22,18,34,58.52932501298082,141.7774500490386,5.5,779.7759752697124,43.32088751498402,0.0472591500163462,65.5408341745524
22,mbpp,train,22,canonical_solution,"# Write a function to find the n-th power of individual elements in a list using lambda function.
def nth_nums(nums,n):
 nth_nums = list(map(lambda x: x ** n, nums))
 return nth_nums",passed,True,True,7.74460333332172e-05,4,4,3,1,0,0,1,1,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,100.0
23,mbpp,train,23,canonical_solution,"# Write a python function to convert the given string to upper case.
def is_upper(string):
  return (string.upper())",passed,True,True,2.643683333332092e-05,3,2,2,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
24,mbpp,train,24,canonical_solution,"# Write a python function to interchange first and last elements in a given list.
def swap_List(newList): 
    size = len(newList) 
    temp = newList[0] 
    newList[0] = newList[size - 1] 
    newList[size - 1] = temp   
    return newList ",passed,True,True,5.539576666630334e-05,7,6,6,1,0,0,1,1,1,2,2,4,3,6,2.0,9.509775004326938,1.0,9.509775004326938,0.5283208335737188,0.003169925001442313,97.93016845803552
25,mbpp,train,25,canonical_solution,"# Write a python function to find the largest triangle that can be inscribed in the semicircle.
def triangle_area(r) :  
    if r < 0 : 
        return -1
    return r * r ",passed,True,True,2.480693333382078e-05,5,4,4,1,0,0,1,2,3,3,3,5,6,8,9.509775004326938,20.67970000576925,2.5,51.69925001442312,2.87218055635684,0.006893233335256416,100.0
26,mbpp,train,26,canonical_solution,"# Write a python function to find the smallest missing number from the given array.
def find_First_Missing(array,start,end): 
    if (start > end): 
        return end + 1
    if (start != array[start]): 
        return start; 
    mid = int((start + end) / 2) 
    if (array[mid] == mid): 
        return find_First_Missing(array,mid+1,end) 
    return find_First_Missing(array,start,mid) ",passed,True,True,8.297109999754563e-05,10,9,9,1,0,0,1,4,5,8,7,14,13,21,35.60964047443681,77.70923408096293,4.375,339.97789910421284,18.887661061345156,0.025903078026987644,84.0368814590983
27,mbpp,train,27,canonical_solution,"# Write a function to replace all spaces in the given string with character * list item * list item * list item * list item '%20'.
MAX=1000;
def replace_spaces(string):
  string=string.strip()
  i=len(string)
  space_count=string.count(' ')
  new_length = i + space_count*2
  if new_length > MAX:
    return -1
  index = new_length-1
  string=list(string)
  for f in range(i-2, new_length-2):
    string.append('0')
  for j in range(i-1, 0, -1):
    if string[j] == ' ':
      string[index] = '0'
      string[index-1] = '2'
      string[index-2] = '%'
      index=index-3
    else:
      string[index] = string[j]
      index -= 1
  return ''.join(string)",passed,True,True,3.851693333369137e-05,23,22,22,1,0,0,1,5,6,11,14,26,17,40,53.563522809337215,163.4985136500136,7.090909090909091,1159.3530967910056,64.40850537727809,0.05449950455000453,67.04601257962284
28,mbpp,train,28,canonical_solution,"# Write a python function to find even numbers from a mixed list.
def Split(list): 
    ev_li = [] 
    for i in list: 
        if (i % 2 == 0): 
            ev_li.append(i)  
    return ev_li",passed,True,True,6.609813333350682e-05,7,6,6,1,0,0,1,3,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,96.17368815601037
29,mbpp,train,29,canonical_solution,"# Write a function to extract all the adjacent coordinates of the given coordinate tuple.
def adjac(ele, sub = []): 
  if not ele: 
     yield sub 
  else: 
     yield from [idx for j in range(ele[0] - 1, ele[0] + 2) 
                for idx in adjac(ele[1:], sub + [j])] 
def get_coordinates(test_tup):
  res = list(adjac(test_tup))
  return (res) ",passed,True,True,0.00017021976666455884,10,9,9,1,0,0,1,4,3,7,4,7,10,11,24.406371956566698,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.012180403014586996,86.33136915676556
30,mbpp,train,30,canonical_solution,"# Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.
import re
text = 'Python Exercises'
def replace_spaces(text):
  text =text.replace ("" "", ""_"")
  return (text)
  text =text.replace (""_"", "" "")
  return (text)",passed,True,True,2.7315900000720226e-05,8,7,7,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
31,mbpp,train,31,canonical_solution,"# Write a python function to move all zeroes to the end of the given list.
def move_zero(num_list):
    a = [0 for i in range(num_list.count(0))]
    x = [ i for i in num_list if i != 0]
    x.extend(a)
    return (x)",passed,True,True,8.006886666862556e-05,6,5,5,1,0,0,1,4,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,100.0
32,mbpp,train,32,canonical_solution,"# Write a python function to find the sum of xor of all pairs of numbers in the given array.
def pair_OR_Sum(arr,n) : 
    ans = 0 
    for i in range(0,n) :    
        for j in range(i + 1,n) :   
            ans = ans + (arr[i] ^ arr[j])          
    return ans ",passed,True,True,3.893083333347628e-05,7,6,6,1,0,0,1,3,2,6,3,6,8,9,17.509775004326936,27.0,1.0,27.0,1.5,0.009,94.48789560855883
33,mbpp,train,33,canonical_solution,"# Write a python function to find the sum of fourth power of first n even natural numbers.
def even_Power_Sum(n): 
    sum = 0; 
    for i in range(1,n + 1): 
        j = 2*i; 
        sum = sum + (j*j*j*j); 
    return sum; ",passed,True,True,2.674410000054195e-05,7,6,6,1,0,0,1,2,2,9,6,12,11,18,30.529325012980813,62.26976913547136,1.3333333333333333,83.02635884729514,4.612575491516397,0.020756589711823786,92.08127349390071
34,mbpp,train,34,canonical_solution,"# Write a function to push all values into a heap and then pop off the smallest values one at a time.
import heapq as hq
def heap_sort(iterable):
    h = []
    for value in iterable:
        hq.heappush(h, value)
    return [hq.heappop(h) for i in range(len(h))]",passed,True,True,0.00010438820000520839,7,6,6,1,0,0,1,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
35,mbpp,train,35,canonical_solution,"# Write a python function to check if roots of a quadratic equation are reciprocal of each other or not.
def Check_Solution(a,b,c): 
    if (a == c): 
        return (""Yes""); 
    else: 
        return (""No""); ",passed,True,True,3.372806666751179e-05,6,5,5,1,0,0,1,2,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,100.0
36,mbpp,train,36,canonical_solution,"# Write a function to check whether the given amount has no profit and no loss
def noprofit_noloss(actual_cost,sale_amount): 
  if(sale_amount == actual_cost):
    return True
  else:
    return False",passed,True,True,3.009790001063569e-05,6,5,5,1,0,0,1,2,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,100.0
37,mbpp,train,37,canonical_solution,"# Write a function to calculate wind chill index.
import math
def wind_chill(v,t):
 windchill = 13.12 + 0.6215*t -  11.37*math.pow(v, 0.16) + 0.3965*t*math.pow(v, 0.16)
 return int(round(windchill, 0))",passed,True,True,3.223769999938971e-05,5,4,4,1,0,0,1,1,3,13,7,14,16,21,52.860603837997665,84.0,1.6153846153846154,135.6923076923077,7.538461538461539,0.028,98.41602853739441
38,mbpp,train,38,canonical_solution,"# Write a function to sum the length of the names of a given list of names after removing the names that start with a lowercase letter.
def sample_nam(sample_names):
  sample_names=list(filter(lambda el:el[0].isupper() and el[1:].islower(),sample_names))
  return len(''.join(sample_names))",passed,True,True,5.4202066666183174e-05,4,4,3,1,0,0,1,2,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,100.0
39,mbpp,train,39,canonical_solution,"# Write a function to remove the parenthesis area in a string.
import re
def remove_parenthesis(items):
 for item in items:
    return (re.sub(r"" ?\([^)]+\)"", """", item))",passed,True,True,3.957080000039544e-05,5,4,4,1,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
40,mbpp,train,40,canonical_solution,"# Write a function to find the nth nonagonal number.
def is_nonagonal(n): 
	return int(n * (7 * n - 5) / 2) ",passed,True,True,2.60449333344089e-05,3,2,2,1,0,0,1,1,3,7,4,8,10,12,24.406371956566698,39.863137138648355,1.7142857142857142,68.33680652339717,3.796489251299843,0.013287712379549451,100.0
41,mbpp,train,41,canonical_solution,"# Write a function to remove similar rows from the given tuple matrix.
def remove_similar_row(test_list):
  res = set(sorted([tuple(sorted(set(sub))) for sub in test_list]))
  return (res) ",passed,True,True,0.00017484870000004094,4,3,3,1,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
42,mbpp,train,42,canonical_solution,"# Write a function that matches a word containing 'z', not at the start or end of the word.
import re
def text_match_wordz_middle(text):
        patterns = '\Bz\B'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')",passed,True,True,3.284546666672365e-05,8,7,7,1,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
43,mbpp,train,43,canonical_solution,"# Write a python function to reverse an array upto a given position.
def reverse_Array_Upto_K(input, k): 
  return (input[k-1::-1] + input[k:]) ",passed,True,True,6.909866666688913e-05,3,3,2,1,0,0,1,1,3,4,3,5,7,8,12.75488750216347,22.458839376460833,1.875,42.11032383086406,2.3394624350480036,0.007486279792153611,100.0
44,mbpp,train,44,canonical_solution,"# Write a function to find the product of it’s kth index in the given tuples.
def get_product(val) : 
	res = 1
	for ele in val: 
		res *= ele 
	return res 
def find_k_product(test_list, K):
  res = get_product([sub[K] for sub in test_list])
  return (res) ",passed,True,True,7.949680000010061e-05,9,8,8,1,0,0,1,2,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,94.71066273856995
45,mbpp,train,45,canonical_solution,"# Write a python function to count number of cubes of size k in a cube of size n.
def No_of_cubes(N,K):
    No = 0
    No = (N - K + 1)
    No = pow(No, 3)
    return No",passed,True,True,2.943600000027876e-05,6,5,5,1,0,0,1,1,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,99.66224982150547
46,mbpp,train,46,canonical_solution,"# Write a function to split a string at uppercase letters.
import re
def split_upperstring(text):
 return (re.findall('[A-Z][^A-Z]*', text))",passed,True,True,9.664073333321236e-05,4,3,3,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
47,mbpp,train,47,canonical_solution,"# Write a function to exchange the position of every n-th value with (n+1)th value and (n+1)th value with n-th value in a given list.
from itertools import zip_longest, chain, tee
def exchange_elements(lst):
    lst1, lst2 = tee(iter(lst), 2)
    return list(chain.from_iterable(zip_longest(lst[1::2], lst[::2])))",passed,True,True,7.849840000062613e-05,5,5,4,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
48,mbpp,train,48,canonical_solution,"# Write a python function to calculate the sum of the numbers in a list between the indices of a specified range.
def sum_Range_list(nums, m, n):                                                                                                                                                                                                
    sum_range = 0                                                                                                                                                                                                         
    for i in range(m, n+1, 1):                                                                                                                                                                                        
        sum_range += nums[i]                                                                                                                                                                                                  
    return sum_range   ",passed,True,True,6.638873333410326e-05,6,5,5,1,0,0,1,2,1,4,2,4,5,6,8.0,13.931568569324174,0.5,6.965784284662087,0.3869880158145604,0.004643856189774725,99.85407908721824
49,mbpp,train,49,canonical_solution,"# Write a python function to check whether the given two arrays are equal or not.
def are_Equal(arr1,arr2,n,m):
    if (n != m):
        return False
    arr1.sort()
    arr2.sort()
    for i in range(0,n - 1):
        if (arr1[i] != arr2[i]):
            return False
    return True",passed,True,True,6.0325299999893406e-05,10,9,9,1,0,0,1,4,2,5,3,6,7,9,13.60964047443681,25.26619429851844,1.2,30.319433158222125,1.6844129532345624,0.008422064766172813,87.45339331856998
50,mbpp,train,50,canonical_solution,"# Write a function to check if one tuple is a subset of another tuple.
def check_subset(test_tup1, test_tup2):
  res = set(test_tup2).issubset(test_tup1)
  return (res) ",passed,True,True,5.65069999993284e-05,4,3,3,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
51,mbpp,train,51,canonical_solution,"# Write a function to flatten the given tuple matrix into the tuple list with each tuple representing each column.
def matrix_to_list(test_list):
  temp = [ele for sub in test_list for ele in sub]
  res = list(zip(*temp))
  return (str(res))",passed,True,True,0.00012659953333316783,5,4,4,1,0,0,1,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
52,mbpp,train,52,canonical_solution,"# Write a function to group a sequence of key-value pairs into a dictionary of lists using collections module.
from collections import defaultdict
def grouping_dictionary(l):
    d = defaultdict(list)
    for k, v in l:
        d[k].append(v)
    return d",passed,True,True,0.00014796589999832577,7,6,6,1,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
53,mbpp,train,53,canonical_solution,"# Write a function to find the perimeter of a rectangle.
def rectangle_perimeter(l,b):
  perimeter=2*(l+b)
  return perimeter",passed,True,True,3.3527399999873826e-05,4,3,3,1,0,0,1,1,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,100.0
54,mbpp,train,54,canonical_solution,"# Write a python function to find the sum of fifth power of n natural numbers.
def fifth_Power_Sum(n) : 
    sm = 0 
    for i in range(1,n+1) : 
        sm = sm + (i*i*i*i*i) 
    return sm ",passed,True,True,2.855946666689609e-05,6,5,5,1,0,0,1,2,2,8,6,12,10,18,26.0,59.794705707972525,1.5,89.69205856195879,4.9828921423310435,0.019931568569324175,95.42416643186002
55,mbpp,train,55,canonical_solution,"# Write a python function to find the minimum sum of absolute differences of two arrays.
def find_Min_Sum(a,b,n): 
    a.sort() 
    b.sort() 
    sum = 0  
    for i in range(n): 
        sum = sum + abs(a[i] - b[i]) 
    return sum",passed,True,True,6.241760002012597e-05,8,7,7,1,0,0,1,2,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,93.5889813210104
56,mbpp,train,56,canonical_solution,"# Write a python function to find the first digit in factorial of a given number.
import math 
def first_Digit(n) : 
    fact = 1
    for i in range(2,n + 1) : 
        fact = fact * i 
        while (fact % 10 == 0) :  
            fact = int(fact / 10) 
    while (fact >= 10) : 
        fact = int(fact / 10) 
    return math.floor(fact) ",passed,True,True,2.178546666679419e-05,11,10,10,1,0,0,1,4,6,7,7,14,13,21,35.161259458730164,77.70923408096293,6.0,466.2554044857776,25.903078026987643,0.025903078026987644,82.22835270978145
57,mbpp,train,57,canonical_solution,"# Write a function to find the item with maximum occurrences in a given list.
def max_occurrences(list1):
    max_val = 0
    result = list1[0] 
    for i in list1:
        occu = list1.count(i)
        if occu > max_val:
            max_val = occu
            result = i 
    return result",passed,True,True,9.001429999860496e-05,10,9,9,1,0,0,1,3,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,92.66715367674213
58,mbpp,train,58,canonical_solution,"# Write a python function to print duplicants from a list of integers.
def Repeat(x): 
    _size = len(x) 
    repeated = [] 
    for i in range(_size): 
        k = i + 1
        for j in range(k, _size): 
            if x[i] == x[j] and x[i] not in repeated: 
                repeated.append(x[i]) 
    return repeated ",passed,True,True,7.490073333353091e-05,10,9,9,1,0,0,1,5,4,8,4,8,12,12,32.0,43.01955000865388,2.0,86.03910001730776,4.779950000961542,0.014339850002884626,85.7005428815864
59,mbpp,train,59,canonical_solution,"# Write a python function to choose points from two ranges such that no point lies in both the ranges.
def find_Points(l1,r1,l2,r2): 
    x = min(l1,l2) if (l1 != l2) else -1
    y = max(r1,r2) if (r1 != r2) else -1
    return (x,y)",passed,True,True,4.548969999783973e-05,5,4,4,1,0,0,1,3,2,5,4,6,7,10,13.60964047443681,28.07354922057604,1.2,33.688259064691245,1.8715699480384025,0.009357849740192013,100.0
60,mbpp,train,60,canonical_solution,"# Write a function to find the maximum sum that can be formed which has no three consecutive elements present.
def max_sum_of_three_consecutive(arr, n): 
	sum = [0 for k in range(n)] 
	if n >= 1: 
		sum[0] = arr[0] 
	if n >= 2: 
		sum[1] = arr[0] + arr[1] 
	if n > 2: 
		sum[2] = max(sum[1], max(arr[1] + arr[2], arr[0] + arr[2])) 
	for i in range(3, n): 
		sum[i] = max(max(sum[i-1], sum[i-2] + arr[i]), arr[i] + arr[i-1] + sum[i-3]) 
	return sum[n-1]",passed,True,True,5.4400800000090994e-05,12,11,11,1,0,0,1,6,4,17,14,28,21,42,77.48686830125578,184.47733175670794,3.2941176470588234,607.6900340220967,33.76055744567204,0.06149244391890265,77.71221974691106
61,mbpp,train,61,canonical_solution,"# Write a function to sort a list in a dictionary.
def sorted_dict(dict1):
  sorted_dict = {x: sorted(y) for x, y in dict1.items()}
  return sorted_dict",passed,True,True,0.0002591033999995792,4,4,3,1,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
62,mbpp,train,62,canonical_solution,"# Write a function to find the largest possible value of k such that k modulo x is y.
import sys 
def find_max_val(n, x, y): 
	ans = -sys.maxsize 
	for k in range(n + 1): 
		if (k % x == y): 
			ans = max(ans, k) 
	return (ans if (ans >= 0 and
					ans <= n) else -1) ",passed,True,True,4.964666666751327e-05,9,7,8,1,0,0,1,5,7,11,8,14,18,22,57.705232259413506,91.73835003173087,4.454545454545454,408.6526501413466,22.70292500785259,0.030579450010576957,86.70622866416429
63,mbpp,train,63,canonical_solution,"# Write a python function to find the average of even numbers till a given even number.
def average_Even(n) : 
    if (n% 2!= 0) : 
        return (""Invalid Input"") 
        return -1  
    sm = 0
    count = 0
    while (n>= 2) : 
        count = count+1
        sm = sm+n 
        n = n-2
    return sm // count ",passed,True,True,2.7311900036390096e-05,12,11,11,1,0,0,1,3,7,7,8,15,14,23,39.302968908806456,87.56916320732489,7.5,656.7687240549367,36.487151336385374,0.029189721069108297,80.38152261836811
64,mbpp,train,64,canonical_solution,"# Write a python function to shift first element to the end of given list.
def move_last(num_list):
    a = [num_list[0] for i in range(num_list.count(num_list[0]))]
    x = [ i for i in num_list if i != num_list[0]]
    x.extend(a)
    return (x)",passed,True,True,6.902173333334834e-05,6,5,5,1,0,0,1,4,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,100.0
